OriginalContentRepo,OriginalContentBranch
microsoftdocs/oufr-dev-docs,live
azure/azure-docs-sdk-java,live
microsoftdocs/cpp-docs-pr,live
microsoftdocs/windows-driver-docs-pr,live
microsoftdocs/open_specs_windows,live
xamarin/apple-api-docs,live
microsoftdocs/officedocs-skypeforbusiness-pr,live
dotnet/aspnetdocs,live
microsoftdocs/azure-reference-other-pr,live
microsoftdocs/dual-screen-docs-pr,live
microsoftdocs/biztalk-reference,live
dotnet/dotnet-api-docs,live
microsoftdocs/visualstudio-docs-dotnet-api-pr,live
microsoftdocs/office-developer-word-pia-ref-dotnet,live
microsoft/azure-maven-plugins,355e8ce5f93e5f70c7b4a65c54f155002f0b010a
microsoftdocs/sql-dacfx-managed-reference.pr,live
azure/azure-docs-sdk-dotnet,live
microsoftdocs/vba-docs,live
microsoftdocs/vsts-docs-rest-apis,live
microsoftdocs/azure-docs-sdk-python,live
officedev/office-js-docs-reference,live
microsoftdocs/sql-docs-pr,live
microsoftdocs/powershell-reference-assemblies,live
microsoftdocs/sql-managed-reference-pr,live
sharepoint/sp-dev-docs-2013-server-ref-dotnet,live
microsoftdocs/office-developer-excel-pia-ref-dotnet,live
dotnet/roslyn-api-docs,live
microsoftdocs/azure-docs-cli,live
azure/azure-cli,dev
microsoftdocs/windows-uwp-pr,live
microsoftdocs/open_specs_office,live
microsoftdocs/office-developer-outlook-pia-ref-dotnet,live
microsoftdocs/contribute,live
microsoftdocs/xboxlive-api,live
microsoftdocs/atadocs-pr,live
microsoftdocs/healthvault-docs,live
microsoftdocs/assessments-pr,live
microsoftdocs/message-analyzer-docs-pr,live
microsoftdocs/windows-docs-pr,live
azure/azure-docs-powershell-azuread,live
microsoftdocs/office-docs-powershell,live
microsoftdocs/security-updates,live
microsoftdocs/businessapplicationplatform-connectors,live
microsoftdocs/dynamics365-docs-dotnet,live
microsoftdocs/dynamics365-docs-powershell,live
microsoftdocs/machinelearning-python-pr,live
azure/azure-powershell,preview
microsoftdocs/azure-docs-powershell,live
azure/azure-powershell,master
azure/azure-powershell,Azs-tzl
microsoftdocs/azure-devops-docs-sdk-dotnet,live
microsoftdocs/docsroot,live
microsoftdocs/lifecycle-data-pr,live
microsoftdocs/hpc-docs-sdk-dotnet,live
microsoftdocs/kaizala-docs,live
microsoftdocs/powershell-docs,live
microsoftdocs/powerplatform-2020w2-releaseplan-pr,live
microsoftdocs/learn-pr,live
microsoftdocs/dynamicsax2012-msdn,live
microsoftdocs/open_specs_exchange,live
microsoftdocs/powerplatform-releasenotes-pr,live
microsoftdocs/officedocs-support-pr,live
microsoftdocs/open_specs_sharepoint,live
microsoftdocs/bot-docs-pr,live
microsoftdocs/iis-docs,live
microsoftdocs/edgeenterprise-pr,live
microsoftdocs/open_specs_msdl,live
microsoftdocs/supportarticles-docs-pr,live
microsoftdocs/powerquery-docs-pr,live
xamarin/android-api-docs,live
microsoftdocs/officedocs-officeupdates-pr,live
microsoftdocs/virtualization-documentation-private,live
microsoftdocs/office-365-management-api,live
microsoftdocs/officedocs-o365itpro-pr,live
microsoftdocs/officedocs-microsoftsearch-pr,live
officedev/open-xml-docs-ref-dotnet,live
microsoftdocs/office-developer-exchange-docs,live
microsoftdocs/sql-docs-powershell,live
microsoftdocs/biztalk-docs,live
microsoftdocs/visualstudio-docs-pr,live
microsoftdocs/samples,live
microsoftdocs/windows-ai-docs-pr,live
microsoftgraph/microsoft-graph-training,live
microsoftdocs/azure-spatialanchors-sdk-android-java-pr,live
microsoftdocs/quantum-docs-pr,live
microsoftdocs/cognitive-toolkit-docs-python,live
microsoftdocs/sccm-docs-powershell,live
microsoftdocs/office-developer-project-class-web-ref-dotnet,live
microsoftdocs/azure-monitor-health-knowledge,live
microsoftdocs/dynamics-released-versions-pr,live
microsoftdocs/movere-pr,live
microsoftdocs/analysis-services-reference-dotnet.pr,live
microsoftdocs/powershell-docs-sdk-dotnet,live
microsoftdocs/architecture-center-pr,live
microsoftdocs/dynamicsax2012-notoc,live
microsoftdocs/windowscommunitytoolkitdocs,live
microsoftdocs/commercialization-docs-pr,live
microsoftdocs/advertising-docs,live
microsoftdocs/biztalk-docs-rest-apis,live
